"Rank","Payout.Perc"
1,0.18
2,0.108
3,0.068
4,0.048
5,0.04
6,0.036
7,0.0335
8,0.031
9,0.029
10,0.027
11,0.0238331878937952
12,0.0217069309961287
13,0.0198641189099969
14,0.0182682352599805
15,0.0168863469049814
16,0.015688875595376
17,0.0146493766918079
18,0.0137443249456229
19,0.012952907340944
20,0.0122568229983882
21,0.011640090140424
22,0.0110888601183699
23,0.010591238501034
24,0.0101371132249941
25,0.00971798980651985
26,0.00932683361513503
27,0.00895791920882119
28,0.00860668673086212
29,0.00826960536832945
30,0.00794404387220968
31,0.00762814813917108
32,0.00732072585497309
33,0.00702113819951517
34,0.00672919861352826
35,0.00644507862690594
36,0.00616922074867694
37,0.00590225841861966
38,0.00564494302051602
39,0.00539807795704712
40,0.00516245978633178
41,0.00493882642010079
42,0.00472781238351908
43,0.00452991113664399
44,0.00434544445752576
45,0.00417453888695007
46,0.00401710923482004
47,0.00387284914818083
48,0.00374122874088412
49,0.00362149928489444
50,0.00351270496323353
51,0.00341370168457317
52,0.00332318295945744
53,0.00323971283817959
54,0.0031617659102878
55,0.00308777436573898
56,0.00301618211769206
57,0.00294550598693921
58,0.00287440394798677
59,0.00280175043676417
60,0.00272671871998575
61,0.00264887032614514
62,0.0025682515381581
63,0.00248549694764044
64,0.00240194007082828
65,0.00231973102614058
66,0.00224196127338272
67,0.00217279541459181
68,0.00211761005651923
69,0.00208313973475782
